Path (w/ version number), Path,  Groups,  Counts,  Rates (Hz)
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET120_v7, HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET120_v,  TAU HIG EXO , 0, 0.0
HLT_AK8PFJetFwd320_v14, HLT_AK8PFJetFwd320_v,  SMP , 0, 0.0
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v17, HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v,  SUS , 0, 0.0
HLT_PFJet140_v18, HLT_PFJet140_v,  SMP EXO , 0, 0.0
HLT_PFHT250_v16, HLT_PFHT250_v,  SUS , 0, 0.0
HLT_BTagMu_AK4DiJet70_Mu5_v12, HLT_BTagMu_AK4DiJet70_Mu5_v,  BTV , 0, 0.0
HLT_AK8PFJetFwd80_v13, HLT_AK8PFJetFwd80_v,  SMP , 0, 0.0
HLT_DoubleMu20_7_Mass0to30_L1_DM4_v6, HLT_DoubleMu20_7_Mass0to30_L1_DM4_v,  SMP BPH , 0, 0.0
HLT_Mu17_v12, HLT_Mu17_v,  MUO SUS SMP , 0, 0.0
HLT_DoubleMu3_DZ_PFMET90_PFMHT90_v9, HLT_DoubleMu3_DZ_PFMET90_PFMHT90_v,  SUS , 0, 0.0
HLT_AK8PFJet550_v10, HLT_AK8PFJet550_v,  SMP EXO , 0, 0.0
HLT_MET105_IsoTrk50_v9, HLT_MET105_IsoTrk50_v,  EXO , 0, 0.0
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v6, HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v,  TOP SUS SMP B2G EXO , 0, 0.0
HLT_Mu15_IsoVVVL_PFHT450_v14, HLT_Mu15_IsoVVVL_PFHT450_v,  SUS B2G , 0, 0.0
HLT_PFJet60_v20, HLT_PFJet60_v,  SMP EXO , 0, 0.0
HLT_PFHT700_PFMET95_PFMHT95_IDTight_v11, HLT_PFHT700_PFMET95_PFMHT95_IDTight_v,  SUS EXO , 0, 0.0
HLT_Dimuon0_Upsilon_L1_4p5er2p0_v8, HLT_Dimuon0_Upsilon_L1_4p5er2p0_v,  BPH , 0, 0.0
HLT_Photon200_v13, HLT_Photon200_v,  SMP EXO , 0, 0.0
HLT_PFJetFwd60_v18, HLT_PFJetFwd60_v,  SMP , 0, 0.0
HLT_RsqMR320_Rsq0p09_MR200_4jet_v14, HLT_RsqMR320_Rsq0p09_MR200_4jet_v,  SUS , 0, 0.0
HLT_Ele20_eta2p1_WPLoose_Gsf_v5, HLT_Ele20_eta2p1_WPLoose_Gsf_v,  SMP , 0, 0.0
HLT_RsqMR300_Rsq0p09_MR200_4jet_v14, HLT_RsqMR300_Rsq0p09_MR200_4jet_v,  SUS , 0, 0.0
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET100_v11, HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET100_v,  TAU HIG EXO , 0, 0.0
