Path (w/ version number), Path,  Groups,  Counts,  Rates (Hz)
HLT_CaloMET110_NotCleaned_v4, HLT_CaloMET110_NotCleaned_v,  JME , 10, 514.8
HLT_PFHT380_SixPFJet32_v8, HLT_PFHT380_SixPFJet32_v,  TOP , 9, 463.32
HLT_PFJet320_v19, HLT_PFJet320_v,  SMP EXO , 9, 463.32
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v12, HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v,  TOP , 9, 463.32
HLT_Photon75_R9Id90_HE10_IsoM_v14, HLT_Photon75_R9Id90_HE10_IsoM_v,  SUS B2G , 7, 360.36
HLT_DoubleMu4_Jpsi_Displaced_v6, HLT_DoubleMu4_Jpsi_Displaced_v,  BPH , 7, 360.36
HLT_PFHT680_v16, HLT_PFHT680_v,  SUS , 6, 308.88
HLT_Mu18_Mu9_v3, HLT_Mu18_Mu9_v,  HIG , 6, 308.88
HLT_DoublePhoton33_CaloIdL_v6, HLT_DoublePhoton33_CaloIdL_v,  EXO SMP , 6, 308.88
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v13, HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v,  MUO SUS SMP B2G TOP EXO , 6, 308.88
HLT_Photon120_v13, HLT_Photon120_v,  SMP EXO , 6, 308.88
HLT_DiPFJetAve320_v13, HLT_DiPFJetAve320_v,  JME SMP , 5, 257.4
HLT_Mu50_v12, HLT_Mu50_v,  SMP MUO B2G EXO , 5, 257.4
HLT_DoubleMu4_JpsiTrkTrk_Displaced_v6, HLT_DoubleMu4_JpsiTrkTrk_Displaced_v,  BPH , 5, 257.4
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v10, HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v,  HIG SUS SMP B2G TOP EXO , 5, 257.4
HLT_DoubleMediumChargedIsoPFTau35_Trk1_eta2p1_Reg_v11, HLT_DoubleMediumChargedIsoPFTau35_Trk1_eta2p1_Reg_v,  TAU , 5, 257.4
HLT_Mu18_Mu9_DZ_v3, HLT_Mu18_Mu9_DZ_v,  HIG , 5, 257.4
HLT_PFJet40_v20, HLT_PFJet40_v,  SMP EXO , 5, 257.4
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v14, HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v,  BPH , 5, 257.4
HLT_DoubleMediumChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_v11, HLT_DoubleMediumChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_v,  TAU , 5, 257.4
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8_v4, HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8_v,  MUO SUS SMP TOP EXO , 5, 257.4
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_v19, HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_v,  SUS HIG EXO B2G , 5, 257.4
HLT_PFMET110_PFMHT110_IDTight_v19, HLT_PFMET110_PFMHT110_IDTight_v,  SUS HIG EXO B2G , 5, 257.4
HLT_PFMETTypeOne110_PFMHT110_IDTight_v11, HLT_PFMETTypeOne110_PFMHT110_IDTight_v,  SUS HIG EXO B2G , 5, 257.4
