Path, Groups, Counts, Rates (Hz)
HLT_Physics_part3_v7, TSG , 10017, 10017
HLT_Physics_part4_v7, TSG , 10017, 10017
HLT_Physics_part5_v7, TSG , 10017, 10017
HLT_Physics_part6_v7, TSG , 10017, 10017
HLT_Physics_part7_v7, TSG , 10017, 10017
DST_Physics_v7, , 10017, 10017
HLT_Random_v3, ALCA TRK-DPG , 0, 0
HLT_ZeroBias_v6, ALCA TSG , 237, 237
HLT_ZeroBias_part0_v6, TSG , 237, 237
HLT_ZeroBias_part1_v6, TSG , 237, 237
HLT_ZeroBias_part2_v6, TSG , 237, 237
HLT_ZeroBias_part3_v6, TSG , 237, 237
HLT_ZeroBias_part4_v6, TSG , 237, 237
HLT_ZeroBias_part5_v6, TSG , 237, 237
HLT_ZeroBias_part6_v6, TSG , 237, 237
HLT_ZeroBias_part7_v6, TSG , 237, 237
DST_ZeroBias_v2, , 237, 237
DST_DoubleMu1_noVtx_CaloScouting_v2, , 415, 415
DST_DoubleMu3_noVtx_Mass10_PFScouting_v2, , 115, 115
HLT_AK4CaloJet30_v11, , 65, 65
HLT_AK4CaloJet40_v10, , 10, 10
HLT_AK4CaloJet50_v10, , 3, 3
HLT_AK4CaloJet80_v10, , 0, 0
HLT_AK4CaloJet100_v10, , 0, 0
HLT_AK4CaloJet120_v9, , 0, 0
HLT_AK4PFJet30_v18, , 36, 36
HLT_AK4PFJet50_v18, , 2, 2
HLT_AK4PFJet80_v18, , 0, 0
HLT_AK4PFJet100_v18, , 0, 0
HLT_AK4PFJet120_v17, , 0, 0
HLT_SinglePhoton10_Eta3p1ForPPRef_v8, , 15, 15
HLT_SinglePhoton20_Eta3p1ForPPRef_v9, , 0, 0
HLT_SinglePhoton30_Eta3p1ForPPRef_v9, , 0, 0
HLT_EcalCalibration_v4, , 0, 0
HLT_HcalCalibration_v5, , 0, 0
AlCa_EcalPhiSym_v9, ALCA ECAL , 333, 333
HLT_L1UnpairedBunchBptxMinus_v2, , 0, 0
HLT_L1UnpairedBunchBptxPlus_v2, , 0, 0
HLT_L1NotBptxOR_v3, , 0, 0
HLT_L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142_v2, TRK-DPG , 0, 0
HLT_HcalNZS_v13, ALCA HCAL , 0, 0
HLT_HcalPhiSym_v15, ALCA HCAL , 1, 1
HLT_HcalIsolatedbunch_v5, ALCA HCAL , 0, 0
HLT_IsoTrackHB_v4, ALCA HCAL , 1, 1
HLT_IsoTrackHE_v4, ALCA HCAL , 3, 3
HLT_ZeroBias_FirstCollisionAfterAbortGap_v5, ALCA TRK-DPG TRK-POG , 3, 3
HLT_ZeroBias_IsolatedBunches_v5, ALCA , 96, 96
HLT_ZeroBias_FirstCollisionInTrain_v4, ALCA TRK-DPG TRK-POG , 0, 0
HLT_ZeroBias_LastCollisionInTrain_v3, ALCA TRK-DPG TRK-POG , 0, 0
HLT_ZeroBias_FirstBXAfterTrain_v3, ALCA TRK-DPG TRK-POG , 1, 1
AlCa_RPCMuonNormalisation_v13, RPC , 680, 680
AlCa_LumiPixels_Random_v4, ALCA LUMI , 0, 0
AlCa_LumiPixels_ZeroBias_v8, ALCA LUMI , 237, 237
MC_ReducedIterativeTracking_v12, , 10017, 10017
MC_PFMET_v16, , 10017, 10017
MC_AK4PFJets_v16, , 7848, 7848
MC_PFBTagDeepCSV_v9, , 1244, 1244
MC_PFHT_v15, , 8925, 8925
MC_PFMHT_v15, , 10017, 10017
MC_CaloMET_v8, , 10017, 10017
MC_CaloMET_JetIdCleaned_v9, , 10017, 10017
MC_AK4CaloJets_v9, , 9445, 9445
MC_AK4CaloJetsFromPV_v7, , 6790, 6790
MC_CaloBTagDeepCSV_v7, , 1030, 1030
MC_CaloHT_v8, , 9541, 9541
MC_CaloMHT_v8, , 10017, 10017
MC_AK8PFJets_v16, , 9055, 9055
MC_AK8TrimPFJets_v16, , 9725, 9725
MC_AK8PFHT_v15, , 9786, 9786
MC_AK8CaloHT_v8, , 9919, 9919
MC_Diphoton10_10_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass10_v13, , 0, 0
MC_DoubleEle5_CaloIdL_MW_v14, , 1, 1
MC_Ele5_WPTight_Gsf_v7, , 0, 0
MC_Ele15_Ele10_CaloIdL_TrackIdL_IsoVL_DZ_v14, , 0, 0
MC_IsoMu_v14, , 5, 5
MC_DoubleMu_TrkIsoVVL_DZ_v10, , 0, 0
MC_DoubleMuNoFiltersNoVtx_v7, , 0, 0
AlCa_EcalPi0EBonly_v13, ALCA ECAL , 862, 862
AlCa_EcalPi0EEonly_v13, ALCA ECAL , 162, 162
AlCa_EcalEtaEBonly_v13, ALCA ECAL , 219, 219
AlCa_EcalEtaEEonly_v13, ALCA ECAL , 18, 18
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET140_v2, , 0, 0
HLT_MediumChargedIsoPFTau200HighPtRelaxedIso_Trk50_eta2p1_v11, , 0, 0
HLT_MediumChargedIsoPFTau220HighPtRelaxedIso_Trk50_eta2p1_v11, , 0, 0
HLT_IsoMu27_LooseChargedIsoPFTau20_Trk1_eta2p1_SingleL1_v4, , 2, 2
HLT_IsoMu27_MediumChargedIsoPFTau20_Trk1_eta2p1_SingleL1_v4, , 2, 2
